Place,Name,Time,Difference,%Back
1,4,21:26.6,-,-
2,20,22:58.4,+1:31.8,+7.1%
3,32,23:34.6,+2:08.0,+9.9%
4,19,26:27.0,+5:00.4,+23.3%
5,37,27:16.7,+5:50.1,+27.2%
6,11,27:58.5,+6:31.9,+30.5%
7,6,28:38.7,+7:12.1,+33.6%
8,21,28:41.0,+7:14.4,+33.8%
9,30,30:55.4,+9:28.8,+44.2%
10,18,31:00.1,+9:33.5,+44.6%
11,28,31:05.7,+9:39.1,+45.0%
12,26,31:56.3,+10:29.7,+48.9%
13,27,32:00.5,+10:33.9,+49.3%
14,15,32:11.7,+10:45.1,+50.1%
15,5,32:13.3,+10:46.7,+50.3%
16,9,32:49.7,+11:23.1,+53.1%
17,2,33:22.3,+11:55.7,+55.6%
18,29,34:05.7,+12:39.1,+59.0%
19,35,34:38.2,+13:11.6,+61.5%
20,40,34:46.3,+13:19.7,+62.2%
21,14,35:14.4,+13:47.8,+64.3%
22,23,35:51.4,+14:24.8,+67.2%
23,36,36:43.8,+15:17.2,+71.3%
24,10,37:07.1,+15:40.5,+73.1%
25,22,37:45.4,+16:18.8,+76.1%
26,39,38:56.3,+17:29.7,+81.6%
27,8,39:14.1,+17:47.5,+83.0%
28,25,39:14.4,+17:47.8,+83.0%
29,24,41:33.3,+20:06.7,+93.8%
30,3,44:00.2,+22:33.6,+105.2%
31,13,45:13.4,+23:46.8,+110.9%
32,12,45:14.0,+23:47.4,+110.9%
33,104,47:12.5,+25:45.9,+120.2%
34,7,49:25.8,+27:59.2,+130.5%
35,34,50:06.7,+28:40.1,+133.7%
36,101,50:07.1,+28:40.5,+133.7%
37,103,50:41.2,+29:14.6,+136.4%
38,102,52:32.1,+31:05.5,+145.0%
39,105,52:32.7,+31:06.1,+145.0%
40,108,54:10.5,+32:43.9,+152.6%
41,16,54:24.0,+32:57.4,+153.7%
42,17,54:25.5,+32:58.9,+153.8%
43,109,1:03:18.2,+41:51.6,+195.2%
44,106,1:03:18.7,+41:52.1,+195.3%
45,107,1:03:41.3,+42:14.7,+197.0%
46,33,1:09:59.4,+48:32.8,+226.4%
47,31,1:10:20.1,+48:53.5,+228.0%
48,38,1:10:23.1,+48:56.5,+228.2%
